Category	Sum_of_views	Sum_of_likes	Sum_of_Dislikes	Sum_of_comments	Percentage_of_views	Percentage_of_likes	Percentage_of_dislikes
Shows	50107526	1043270	22504	78928	0%	0%	0%
Nonprofits & Activism	168787197	14807264	3310194	4807290	0%	1%	3%
Travel & Events	293762630	4165530	207026	723243	0%	0%	0%
Autos & Vehicles	445743210	2809588	177853	580182	1%	0%	0%
Pets & Animals	656853767	15661736	447479	1972230	1%	1%	0%
Education	998606764	40641011	1067026	4461648	1%	2%	1%
News & Politics	1254409670	15152703	2877390	4882203	1%	1%	2%
Gaming	2090763916	67368236	9134072	14536911	2%	3%	7%
Science & Technology	3027313831	69020676	3722884	9948559	4%	3%	3%
Howto & Style	3384823547	139577647	4536784	19280259	4%	5%	4%
Sports	4087798776	92171774	4914077	10439146	5%	4%	4%
Comedy	4184046800	167829988	5908818	17977971	5%	6%	5%
People & Blogs	4359292959	162549360	8200758	21461158	5%	6%	7%
Film & Animation	6506752567	150647766	5406885	16193037	8%	6%	4%
Entertainment	16753350336	412405947	28728268	54692406	20%	16%	23%
Music	36180486393	1237466348	44624519	108926207	43%	48%	36%