Row Labels,Sum of views,Sum of likes,Sum of dislikes,Sum of comment_count
Autos & Vehicles,214184514,3543625,281190,505085
Comedy,3962062143,143372176,4630521,16718816
Education,444290557,17567394,593153,1636903
Entertainment,29786283041,744266231,88106151,116897440
Film & Animation,8362707626,147418633,6192934,15590011
Gaming,1746619532,70125588,2304458,6166994
Howto & Style,1190155227,51360345,1607193,7356296
Music,1.71161E+11,3742993052,159370236,293013140
News & Politics,1409131375,30651565,3780349,9386604
Nonprofits & Activism,352798262,24452616,5436854,7672790
People & Blogs,5754287829,135396249,12002570,18713149
Pets & Animals,541320573,15288374,366060,1404698
Science & Technology,1641388256,31873124,1623049,4029065
Shows,28583283,836738,6396,80957
Sports,3341736194,74888487,9914555,10056226
Travel & Events,132784993,928747,34715,118177
Grand Total,2.30069E+11,5234962944,296250384,509346351